,temperature,mV
0,-2075,-6
1,-1151,-4
2,-531,-2
3,0,0
4,494,2
5,977,4
6,1466,6
7,1965,8
8,2462,10
9,2950,12
10,3430,14
11,3906,16
12,4379,18
13,4849,20
14,5318,22
15,5787,24
16,6258,26
17,6731,28
18,7208,30
19,7690,32
20,8177,34
21,8670,36
22,9169,38
23,9674,40
24,10186,42
25,10706,44
26,11234,46
27,11771,48
28,12320,50
29,12883,52
30,13460,54
