Class,Description,Menu,arduino,esp32_freertos,esp32s3_freertos,linux_amd64,linux_android_arm64,linux_android_arm,linux_arm64,linux_arm,linux_armv7l,linux_x86,linux_x86_64,nxp_arm,win_x86,xcore_freertos,zephyr_arm
Exponential,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
LogBaseTen,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Log,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Max,,Math / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Min,,Math / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Modulus,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Multiply,,Math / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Power,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
HyperbolicSine,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sine,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Square,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SquareRoot,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Subtraction,,Math / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
HyperbolicTan,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Tan,,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
rng,random number generator,Math / Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
state_condition,,Software Structure / State Machine,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
state_debug,,Software Structure / State Machine,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
state_manager,,Software Structure / State Machine,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Sub,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Cat,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
CharAt,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Cmp,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Find,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
string_format,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Insert,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Len,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ToLower,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
stringfn_scan,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
StrAt,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ToUpper,,Data Utilities / String Functions,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Exec,,System / Host OS,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
time_clock,,Event / Timer,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventCounter,,Event / Counters/Iterators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventManRstAnd,,Event / Combiners/Flow,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventLatchingAnd,,Event / Combiners/Flow,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventBooleanControl,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventEdgeDetect,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventOr,,Event / Combiners/Flow,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventSelfResetLatchingAnd,,Event / Combiners/Flow,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventSetReset,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventToggleBoolean,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventNegativeEdgeDetect,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
EventPositiveEdgeDetect,,Event / Boolean Control,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
wall_clock,,System / Local,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xml_stream_parser,XML Stream Parser,Data Utilities / XML,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
DtvPvrList,,Deprecated / DTV,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
DtvRemoteKey,,Deprecated / DTV,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
gui_text,,User Interface / Graphics,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
GUI_Image,,Deprecated / GUI_Image,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GUI_OutputTextBox,,Deprecated / GUI_Output,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ml_frame_inference,Machine learning Tensorflow Lite model from image frame.,Deprecated / Machine Learning,—,—,—,—,—,—,✓,—,—,—,—,—,✓,—,—
AddAccumulate,,Deprecated / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
SubAccumulate,,Deprecated / Operators,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
RuntimeInfo,,Deprecated / System,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
GUI_Image_File,,User Interface / Graphics,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
gui_patch,,User Interface / Graphics,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
gui_viewport,,User Interface / View Port,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
ui_chart,,User Interface / Graphics,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ui_list,,User Interface / Graphics,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ui_spinner,,User Interface / Graphics,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
html_java,Run Javascript and render HTML,Languages / JavaScript,—,—,✓,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
PlayManager,,AV / Media Management,—,—,—,✓,✓,✓,✓,✓,✓,✓,✓,—,✓,—,—
ml_image_inference,Machine Learning Inference for Images,Machine Learning / Image Inference,—,—,—,—,—,—,✓,—,—,—,✓,—,✓,—,—
ml_svm_inference,Run machine learning models with limited resources,Machine Learning / SVM Inference,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
apriltag,Apriltag detector,Machine Vision / AprilTag,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
Camera,Run machine learning camera,Machine Vision / Camera,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
FrameCrop,Crops camera frame,Machine Vision / Frame Crop,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
FrameFormatter,Modifies camera frame format,Machine Vision / Frame Formatter,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
FrameReadFromFile,Reads frame from a file,Machine Vision / Frame Read From File,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
FrameResize,Resize camera frame,Machine Vision / Frame Resize,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
frame_show,Show the frame in a pop window.,Machine Vision / Frame Show,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
ble_service,BLE Service Manager,Networking / Bluetooth,—,—,✓,—,—,—,—,—,—,—,—,—,—,—,—
DevmanPlayer,,AV / Media Management,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
interface_manager,Manage the network interface,Networking / Interface Manager,—,✓,—,—,—,—,—,—,—,—,—,—,—,—,—
netSocket,network Socket Component,Networking / Sockets,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
mqtt_client,mqtt_client,Networking / MQTT,✓,✓,✓,—,—,—,✓,—,—,—,✓,✓,✓,—,—
mqtt_publish,mqtt_publish,Networking / MQTT,✓,✓,✓,—,—,—,✓,—,—,—,✓,✓,✓,—,—
mqtt_subscribe,mqtt_subscribe,Networking / MQTT,✓,✓,✓,—,—,—,✓,—,—,—,✓,✓,✓,—,—
netsocketsrvr,Network Socket Server,Networking / Sockets,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
network_config,Configures network interface,Networking / Network Config,—,✓,—,—,—,—,—,—,—,—,—,—,—,—,—
UrlGet,,Networking / HTTP,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
wifi_station,Connect to a Wi-Fi access point,Networking / Wi-Fi,—,—,✓,—,—,—,—,—,—,—,—,—,—,—,—
NewComponent,,Software Structure / Function Blocks,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
state,,Software Structure / State Machine,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xcomment,,Comment Block,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xfinish,,Software Structure / Function Blocks,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xinput,,Software Structure / Function Blocks,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xoutput,,Software Structure / Function Blocks,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
xstart,,Software Structure / Function Blocks,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓,✓
accel_gyro,Accelerometer and Gyroscope,Peripherals / Accelerometer and Gyroscope,✓,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
accelerometer,Accelerometer,Peripherals / Accelerometer,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
adc_config,Configure the ADC unit,Peripherals / ADC,✓,—,—,—,—,—,✓,—,—,—,✓,—,✓,✓,—
adc_read,adc_read,Peripherals / ADC,✓,—,—,—,—,—,✓,—,—,—,✓,—,✓,✓,—
adc_read_continuous,Continuously read ADC value,Peripherals / ADC,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
adc_read_single,Read ADC value on request,Peripherals / ADC,✓,—,—,—,—,—,✓,—,—,—,✓,—,✓,✓,—
buzzer,Buzzer,Peripherals / Buzzer,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
dac,DAC,Peripherals / DAC,✓,—,—,—,—,—,✓,—,—,—,✓,—,✓,✓,—
gpio_in,GPIO Input,Peripherals / GPIO,✓,—,—,✓,—,—,✓,—,—,—,✓,✓,✓,✓,✓
gpio_out,GPIO Output,Peripherals / GPIO,✓,—,—,✓,—,—,✓,—,—,—,✓,✓,✓,✓,✓
gui_leds,,User Interface / Hardware,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
GUI_keypress,,User Interface / Hardware,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
led,LED,Peripherals / LED,✓,—,—,—,—,—,—,—,—,—,—,—,—,—,—
modbus_config,MODBUS-RT config,Peripherals / MODBUS,—,—,✓,—,—,—,—,—,—,—,✓,—,✓,—,—
