what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.linuxtools.systemtap.ui.graphicalrun,0.3.0.201101251503,"org.eclipse.linuxtools.systemtap.ui.graphicalrun",1342123683582
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1342123683600
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1342123683623
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1342123683626
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1342123683626
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1342123683651
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1342123683670
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1342123683692
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1342123683701
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1342123683742
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1342123683811
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1342123683834
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1342123683864
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1342123683888
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1342123683901
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1342123683934
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1342123683978
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1342123684040
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1342123684041
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1342123684041
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1342123684059
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1342123684082
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1342123684083
os,sysinfo,,,"linux",1342123684086
arch,sysinfo,,,"x86",1342123684086
ws,sysinfo,,,"gtk",1342123684086
locale,sysinfo,,,"en_GB",1342123684086
processors,sysinfo,,,"8",1342123684086
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1342123684086
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1342123684086
java.specification.name,sysinfo,,,"Java Platform API Specification",1342123684086
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342123684086
java.specification.version,sysinfo,,,"1.6",1342123684086
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342123684086
java.version,sysinfo,,,"1.6.0_22",1342123684086
java.vm.info,sysinfo,,,"mixed mode",1342123684086
java.vm.name,sysinfo,,,"OpenJDK Client VM",1342123684086
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342123684086
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342123684086
java.vm.specification.version,sysinfo,,,"1.0",1342123684086
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342123684086
java.vm.version,sysinfo,,,"20.0-b11",1342123684086
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1342123685279
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1342123685857
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1342123685858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342123688109
