what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342137978813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342137979645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342137981913
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342137985443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342137989067
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342137992247
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342138045420
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138050474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138053267
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138053990
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138055511
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138058203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138061289
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138075302
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138075859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138076246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138076633
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138077233
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138077691
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138078993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138080222
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138080854
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138081382
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138081804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138082263
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342138082646
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1342138087394
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138088030
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138096689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138097643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138105281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138107115
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138123927
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138201252
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342138244136
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138245447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138247154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138248881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138251450
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138252947
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138258770
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138261534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1342138296645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138298522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138299239
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138303668
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138305950
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342138358577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138361374
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138363107
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138363167
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138396946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138451101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138453868
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138455354
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342138500874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138542267
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138548565
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138553098
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342138557044
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138562340
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138565702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138566777
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342138584595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138587624
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138588361
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342138597448
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342138600855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342138601384
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342138604701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138608749
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138639947
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138639999
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138701385
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138718268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138788482
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138801975
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138812488
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138815136
activated,perspective,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugPerspective",1342138818542
opened,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.BreakpointView",1342138818774
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138818977
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1342138824552
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Resume",1342138824625
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1342138841655
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.StepOver",1342138843680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138845085
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138861989
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138862052
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138918373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138936037
activated,view,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.DebugView",1342138938357
executed,command,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui.commands.Terminate",1342138938452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138941127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138945378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138947613
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138949197
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138951444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138968163
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342138968240
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342138995752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139025082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139027514
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139032241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139046677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139145768
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139149638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342139154939
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342139155788
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139157105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139161518
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139168674
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139170685
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139175483
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139177628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139247293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342139318192
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139349602
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342139352774
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342139354739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139355295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342139358945
