what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1342435903573
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1342435903581
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1342435903587
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1342435903602
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1342435903608
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1342435903621
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1342435903641
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1342435903657
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1342435903658
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1342435903678
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1342435903678
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1342435903697
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1342435903709
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1342435903710
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1342435903710
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1342435903723
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1342435903737
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1342435903752
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1342435903753
started,bundle,com.android.ide.eclipse.adt,20.0.0.v201206242043-391819,"com.android.ide.eclipse.adt",1342435903754
started,bundle,com.android.ide.eclipse.base,20.0.0.v201206242043-391819,"com.android.ide.eclipse.base",1342435903754
started,bundle,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms",1342435903771
os,sysinfo,,,"linux",1342435903775
arch,sysinfo,,,"x86",1342435903775
ws,sysinfo,,,"gtk",1342435903775
locale,sysinfo,,,"en_GB",1342435903775
processors,sysinfo,,,"8",1342435903775
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1342435903775
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1342435903775
java.specification.name,sysinfo,,,"Java Platform API Specification",1342435903775
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342435903775
java.specification.version,sysinfo,,,"1.6",1342435903775
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1342435903775
java.version,sysinfo,,,"1.6.0_22",1342435903775
java.vm.info,sysinfo,,,"mixed mode",1342435903775
java.vm.name,sysinfo,,,"OpenJDK Client VM",1342435903775
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1342435903775
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1342435903775
java.vm.specification.version,sysinfo,,,"1.0",1342435903775
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1342435903775
java.vm.version,sysinfo,,,"20.0-b11",1342435903775
started,bundle,com.android.ide.eclipse.traceview,20.0.0.v201206242043-391819,"com.android.ide.eclipse.traceview",1342435905087
