what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342182978556
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183009592
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183011717
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183016346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183018174
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183038326
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183120656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183122118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183123962
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183127202
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183129163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183144463
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183149181
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183163077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183201353
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183203683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183205221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183234557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183238660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183254346
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183263651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183265693
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183266876
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183292045
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183297335
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183316231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183536532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183576278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183908689
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1342183965303
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1342183967750
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1342183979932
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1342183980015
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183980021
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183980161
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183980165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183991888
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342183997317
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1342184000817
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184000872
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342184024663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184038368
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184098077
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184177012
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184200426
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342184305020
activated,view,com.android.ide.eclipse.ddms,20.0.0.v201206242043-391819,"com.android.ide.eclipse.ddms.views.LogCatView",1342184307831
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184337373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342184350911
